Entry	Reviewed	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Gene Ontology IDs
Q56218	reviewed	NADH-quinone oxidoreductase subunit 6 (EC 7.1.1.-) (NADH dehydrogenase I subunit 6) (NDH-1 subunit 6)	nqo6 TTHA0085	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	181	plasma membrane [GO:0005886]; respiratory chain complex I [GO:0045271]; 4 iron, 4 sulfur cluster binding [GO:0051539]; iron ion binding [GO:0005506]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; NADH:ubiquinone reductase (non-electrogenic) activity [GO:0050136]; quinone binding [GO:0048038]; aerobic respiration [GO:0009060]; electron transport coupled proton transport [GO:0015990]	aerobic respiration [GO:0009060]; electron transport coupled proton transport [GO:0015990]	plasma membrane [GO:0005886]; respiratory chain complex I [GO:0045271]	4 iron, 4 sulfur cluster binding [GO:0051539]; iron ion binding [GO:0005506]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; NADH:ubiquinone reductase (non-electrogenic) activity [GO:0050136]; quinone binding [GO:0048038]	GO:0005506; GO:0005886; GO:0008137; GO:0009060; GO:0015990; GO:0045271; GO:0048038; GO:0050136; GO:0051539
Q56221	reviewed	NADH-quinone oxidoreductase subunit 2 (EC 7.1.1.-) (NADH dehydrogenase I chain 2) (NDH-1 subunit 2)	nqo2 TTHA0088	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	181	plasma membrane [GO:0005886]; 2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; NADH dehydrogenase activity [GO:0003954]; quinone binding [GO:0048038]		plasma membrane [GO:0005886]	2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; NADH dehydrogenase activity [GO:0003954]; quinone binding [GO:0048038]	GO:0003954; GO:0005886; GO:0046872; GO:0048038; GO:0051537
Q56223	reviewed	NADH-quinone oxidoreductase subunit 3 (EC 7.1.1.-) (NADH dehydrogenase I chain 3) (NDH-1 subunit 3)	nqo3 TTHA0090	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	783	plasma membrane [GO:0005886]; 2 iron, 2 sulfur cluster binding [GO:0051537]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; molybdopterin cofactor binding [GO:0043546]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; quinone binding [GO:0048038]; ATP synthesis coupled electron transport [GO:0042773]	ATP synthesis coupled electron transport [GO:0042773]	plasma membrane [GO:0005886]	2 iron, 2 sulfur cluster binding [GO:0051537]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; molybdopterin cofactor binding [GO:0043546]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; quinone binding [GO:0048038]	GO:0005886; GO:0008137; GO:0042773; GO:0043546; GO:0046872; GO:0048038; GO:0051537; GO:0051539
Q56232	reviewed	Aspartate/prephenate aminotransferase (AspAT / PAT) (EC 2.6.1.1) (EC 2.6.1.78) (Transaminase A)	aspC TTHA0046	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	385	cytoplasm [GO:0005737]; aspartate-prephenate aminotransferase activity [GO:0033853]; L-aspartate:2-oxoglutarate aminotransferase activity [GO:0004069]; pyridoxal phosphate binding [GO:0030170]; amino acid metabolic process [GO:0006520]; biosynthetic process [GO:0009058]	amino acid metabolic process [GO:0006520]; biosynthetic process [GO:0009058]	cytoplasm [GO:0005737]	aspartate-prephenate aminotransferase activity [GO:0033853]; L-aspartate:2-oxoglutarate aminotransferase activity [GO:0004069]; pyridoxal phosphate binding [GO:0030170]	GO:0004069; GO:0005737; GO:0006520; GO:0009058; GO:0030170; GO:0033853
Q5SH28	reviewed	1,4-alpha-glucan branching enzyme TTHA1902 (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Branching enzyme) (BE)	TTHA1902 TT1467	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	520	extracellular region [GO:0005576]; 1,4-alpha-glucan branching enzyme activity [GO:0003844]; alpha-glucan biosynthetic process [GO:0030979]; glycogen biosynthetic process [GO:0005978]	alpha-glucan biosynthetic process [GO:0030979]; glycogen biosynthetic process [GO:0005978]	extracellular region [GO:0005576]	1,4-alpha-glucan branching enzyme activity [GO:0003844]	GO:0003844; GO:0005576; GO:0005978; GO:0030979
Q5SHN3	reviewed	Small ribosomal subunit protein uS12 (30S ribosomal protein S12)	rpsL TTHA1697	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	132	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]	translation [GO:0006412]	small ribosomal subunit [GO:0015935]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]	GO:0000049; GO:0003735; GO:0006412; GO:0015935; GO:0019843
Q5SHN6	reviewed	Elongation factor Tu-A (EF-Tu-A) (EC 3.6.5.3)	tufA tuf TTHA1694	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	406	cytosol [GO:0005829]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; RNA binding [GO:0003723]; translation elongation factor activity [GO:0003746]		cytosol [GO:0005829]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; RNA binding [GO:0003723]; translation elongation factor activity [GO:0003746]	GO:0003723; GO:0003746; GO:0003924; GO:0005525; GO:0005829
Q5SHT5	reviewed	Endonuclease MutS2 (EC 3.1.12.-) (Ribosome-associated protein quality control-upstream factor) (RQC-upstream factor) (RqcU) (EC 3.6.4.-)	mutS2 rqcU TTHA1645	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	744	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent DNA damage sensor activity [GO:0140664]; endonuclease activity [GO:0004519]; mismatched DNA binding [GO:0030983]; ribosomal large subunit binding [GO:0043023]; rRNA binding [GO:0019843]; mismatch repair [GO:0006298]; negative regulation of DNA recombination [GO:0045910]; rescue of stalled ribosome [GO:0072344]	mismatch repair [GO:0006298]; negative regulation of DNA recombination [GO:0045910]; rescue of stalled ribosome [GO:0072344]		ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent DNA damage sensor activity [GO:0140664]; endonuclease activity [GO:0004519]; mismatched DNA binding [GO:0030983]; ribosomal large subunit binding [GO:0043023]; rRNA binding [GO:0019843]	GO:0004519; GO:0005524; GO:0006298; GO:0016887; GO:0019843; GO:0030983; GO:0043023; GO:0045910; GO:0072344; GO:0140664
Q5SHZ4	reviewed	DNA gyrase subunit B (EC 5.6.2.2)	gyrB TTHA1586	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	634	chromosome [GO:0005694]; cytoplasm [GO:0005737]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA negative supercoiling activity [GO:0034335]; metal ion binding [GO:0046872]; DNA topological change [GO:0006265]; DNA-templated DNA replication [GO:0006261]	DNA topological change [GO:0006265]; DNA-templated DNA replication [GO:0006261]	chromosome [GO:0005694]; cytoplasm [GO:0005737]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA negative supercoiling activity [GO:0034335]; metal ion binding [GO:0046872]	GO:0003677; GO:0005524; GO:0005694; GO:0005737; GO:0006261; GO:0006265; GO:0034335; GO:0046872
Q5SHZ8	reviewed	8-amino-7-oxononanoate synthase/2-amino-3-ketobutyrate coenzyme A ligase (AONS/AKB ligase) (EC 2.3.1.29) (EC 2.3.1.47) (7-keto-8-amino-pelargonic acid synthase) (7-KAP synthase) (KAPA synthase) (8-amino-7-ketopelargonate synthase) (Alpha-oxoamine synthase) (Glycine acetyltransferase)	TTHA1582	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	395	8-amino-7-oxononanoate synthase activity [GO:0008710]; glycine C-acetyltransferase activity [GO:0008890]; pyridoxal phosphate binding [GO:0030170]; biotin biosynthetic process [GO:0009102]	biotin biosynthetic process [GO:0009102]		8-amino-7-oxononanoate synthase activity [GO:0008710]; glycine C-acetyltransferase activity [GO:0008890]; pyridoxal phosphate binding [GO:0030170]	GO:0008710; GO:0008890; GO:0009102; GO:0030170
Q5SI82	reviewed	ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-)	ftsH TTHA1492	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	624	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent peptidase activity [GO:0004176]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; protein catabolic process [GO:0030163]; proteolysis [GO:0006508]	protein catabolic process [GO:0030163]; proteolysis [GO:0006508]	plasma membrane [GO:0005886]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent peptidase activity [GO:0004176]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]	GO:0004176; GO:0004222; GO:0005524; GO:0005886; GO:0006508; GO:0008270; GO:0016887; GO:0030163
Q5SIA8	reviewed	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)	pyrG TTHA1466	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	550	cytosol [GO:0005829]; ATP binding [GO:0005524]; CTP synthase activity [GO:0003883]; glutaminase activity [GO:0004359]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; 'de novo' CTP biosynthetic process [GO:0044210]; pyrimidine nucleobase biosynthetic process [GO:0019856]	'de novo' CTP biosynthetic process [GO:0044210]; pyrimidine nucleobase biosynthetic process [GO:0019856]	cytosol [GO:0005829]	ATP binding [GO:0005524]; CTP synthase activity [GO:0003883]; glutaminase activity [GO:0004359]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]	GO:0003883; GO:0004359; GO:0005524; GO:0005829; GO:0019856; GO:0042802; GO:0044210; GO:0046872
Q5SIC2	reviewed	Aspartate--tRNA(Asp/Asn) ligase (EC 6.1.1.23) (Aspartyl-tRNA synthetase 2) (AspRS2) (Non-discriminating aspartyl-tRNA synthetase) (ND-AspRS)	aspS2 TTHA1452	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	422	aminoacyl-tRNA synthetase multienzyme complex [GO:0017101]; cytosol [GO:0005829]; aspartate-tRNA ligase activity [GO:0004815]; aspartate-tRNA(Asn) ligase activity [GO:0050560]; ATP binding [GO:0005524]; RNA binding [GO:0003723]; aspartyl-tRNA aminoacylation [GO:0006422]	aspartyl-tRNA aminoacylation [GO:0006422]	aminoacyl-tRNA synthetase multienzyme complex [GO:0017101]; cytosol [GO:0005829]	aspartate-tRNA ligase activity [GO:0004815]; aspartate-tRNA(Asn) ligase activity [GO:0050560]; ATP binding [GO:0005524]; RNA binding [GO:0003723]	GO:0003723; GO:0004815; GO:0005524; GO:0005829; GO:0006422; GO:0017101; GO:0050560
Q5SID7	reviewed	Cyclic AMP receptor protein (Cyclic AMP receptor protein/Fumarate and nitrate reduction regulator superfamily protein TTHA1437) (CRP/FNR superfamily protein TTHA1437) (cAMP receptor protein) (CRP)	TTHA1437	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	216	cytosol [GO:0005829]; cAMP binding [GO:0030552]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; protein homodimerization activity [GO:0042803]; sequence-specific DNA binding [GO:0043565]; transcription cis-regulatory region binding [GO:0000976]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of gene expression [GO:0010628]	positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of gene expression [GO:0010628]	cytosol [GO:0005829]	cAMP binding [GO:0030552]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; protein homodimerization activity [GO:0042803]; sequence-specific DNA binding [GO:0043565]; transcription cis-regulatory region binding [GO:0000976]	GO:0000976; GO:0003677; GO:0003700; GO:0005829; GO:0010628; GO:0030552; GO:0042803; GO:0043565; GO:0045893
Q5SIL0	reviewed	Transcriptional regulator SdrP (Cyclic AMP receptor protein/Fumarate and nitrate reduction regulator superfamily protein SdrP) (CRP/FNR superfamily protein SdrP) (Oxidative stress-responsive transcriptional activator SdrP) (Stationary phase-dependent regulatory protein) (SdrP)	TTHA1359	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	202	cytosol [GO:0005829]; DNA binding [GO:0003677]; DNA-binding transcription activator activity [GO:0001216]; protein homodimerization activity [GO:0042803]; positive regulation of DNA-templated transcription [GO:0045893]; response to oxidative stress [GO:0006979]	positive regulation of DNA-templated transcription [GO:0045893]; response to oxidative stress [GO:0006979]	cytosol [GO:0005829]	DNA binding [GO:0003677]; DNA-binding transcription activator activity [GO:0001216]; protein homodimerization activity [GO:0042803]	GO:0001216; GO:0003677; GO:0005829; GO:0006979; GO:0042803; GO:0045893
Q5SIY4	reviewed	3-isopropylmalate dehydrogenase (EC 1.1.1.85) (3-IPM-DH) (Beta-IPM dehydrogenase) (IMDH)	leuB TTHA1230	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	345	cytosol [GO:0005829]; 3-isopropylmalate dehydrogenase activity [GO:0003862]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]; L-leucine biosynthetic process [GO:0009098]	L-leucine biosynthetic process [GO:0009098]	cytosol [GO:0005829]	3-isopropylmalate dehydrogenase activity [GO:0003862]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]	GO:0000287; GO:0003862; GO:0005829; GO:0009098; GO:0042802; GO:0051287
Q5SJ58	reviewed	O-acetyl-L-homoserine sulfhydrylase 2 (OAH-sulfhydrylase 2) (EC 2.5.1.-)	oah2 TTHA1156	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	412	cytoplasm [GO:0005737]; cysteine synthase activity [GO:0004124]; O-acetylhomoserine sulfhydrylase activity [GO:0051009]; pyridoxal phosphate binding [GO:0030170]; cysteine biosynthetic process from serine [GO:0006535]; L-homocysteine biosynthetic process [GO:0071269]; transsulfuration [GO:0019346]	cysteine biosynthetic process from serine [GO:0006535]; L-homocysteine biosynthetic process [GO:0071269]; transsulfuration [GO:0019346]	cytoplasm [GO:0005737]	cysteine synthase activity [GO:0004124]; O-acetylhomoserine sulfhydrylase activity [GO:0051009]; pyridoxal phosphate binding [GO:0030170]	GO:0004124; GO:0005737; GO:0006535; GO:0019346; GO:0030170; GO:0051009; GO:0071269
Q5SJ65	reviewed	Type-5 uracil-DNA glycosylase (EC 3.2.2.-) (TTUDGB) (Uracil/hypoxanthine/xanthine DNA glycosylase)	udgb TTHA1149	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	219	4 iron, 4 sulfur cluster binding [GO:0051539]; deaminated base DNA N-glycosylase activity [GO:0097506]; DNA-deoxyinosine glycosylase activity [GO:0033958]; metal ion binding [GO:0046872]; uracil DNA N-glycosylase activity [GO:0004844]; base-excision repair [GO:0006284]; DNA repair [GO:0006281]	base-excision repair [GO:0006284]; DNA repair [GO:0006281]		4 iron, 4 sulfur cluster binding [GO:0051539]; deaminated base DNA N-glycosylase activity [GO:0097506]; DNA-deoxyinosine glycosylase activity [GO:0033958]; metal ion binding [GO:0046872]; uracil DNA N-glycosylase activity [GO:0004844]	GO:0004844; GO:0006281; GO:0006284; GO:0033958; GO:0046872; GO:0051539; GO:0097506
Q5SJC4	reviewed	Crossover junction endodeoxyribonuclease RuvC (EC 3.1.21.10) (Holliday junction nuclease RuvC) (Holliday junction resolvase RuvC)	ruvC TTHA1090	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	166	cytoplasm [GO:0005737]; Holliday junction resolvase complex [GO:0048476]; crossover junction DNA endonuclease activity [GO:0008821]; DNA binding [GO:0003677]; magnesium ion binding [GO:0000287]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]	DNA recombination [GO:0006310]; DNA repair [GO:0006281]	cytoplasm [GO:0005737]; Holliday junction resolvase complex [GO:0048476]	crossover junction DNA endonuclease activity [GO:0008821]; DNA binding [GO:0003677]; magnesium ion binding [GO:0000287]	GO:0000287; GO:0003677; GO:0005737; GO:0006281; GO:0006310; GO:0008821; GO:0048476
Q5SK28	reviewed	Polyamine aminopropyltransferase (Agmatine aminopropyltransferase) (EC 2.5.1.104) (N1-aminopropylagmatine synthase) (Norspermidine aminopropyltransferase) (EC 2.5.1.126) (Spermidine aminopropyltransferase) (EC 2.5.1.79) (Spermine synthase) (EC 2.5.1.22) (Thermine synthase) (Thermospermine synthase) (Triamine/agmatine aminopropyltransferase) (TAAPT)	speE TTHA0824	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	314	cytoplasm [GO:0005737]; agmatine aminopropyltransferase activity [GO:0043919]; spermidine synthase activity [GO:0004766]; spermine synthase activity [GO:0016768]; thermospermine synthase activity [GO:0010487]; polyamine biosynthetic process [GO:0006596]; spermidine biosynthetic process [GO:0008295]	polyamine biosynthetic process [GO:0006596]; spermidine biosynthetic process [GO:0008295]	cytoplasm [GO:0005737]	agmatine aminopropyltransferase activity [GO:0043919]; spermidine synthase activity [GO:0004766]; spermine synthase activity [GO:0016768]; thermospermine synthase activity [GO:0010487]	GO:0004766; GO:0005737; GO:0006596; GO:0008295; GO:0010487; GO:0016768; GO:0043919
Q5SK82	reviewed	Lactate-binding periplasmic protein TTHA0766 (ABC transporter, solute-binding protein) (Extracytoplasmic solute receptor protein TTHA0766) (TRAP transporter lactate-binding subunit P)	TTHA0766	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	361	periplasmic space [GO:0042597]; tripartite ATP-independent periplasmic transporter complex [GO:0031317]; calcium ion binding [GO:0005509]; protein homodimerization activity [GO:0042803]; zinc ion binding [GO:0008270]; lactate transport [GO:0015727]; transmembrane transport [GO:0055085]	lactate transport [GO:0015727]; transmembrane transport [GO:0055085]	periplasmic space [GO:0042597]; tripartite ATP-independent periplasmic transporter complex [GO:0031317]	calcium ion binding [GO:0005509]; protein homodimerization activity [GO:0042803]; zinc ion binding [GO:0008270]	GO:0005509; GO:0008270; GO:0015727; GO:0031317; GO:0042597; GO:0042803; GO:0055085
Q5SK88	reviewed	O-acetyl-L-homoserine sulfhydrylase 1 (OAH-sulfhydrylase 1) (EC 2.5.1.-)	oah1 TTHA0760	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	421	cytoplasm [GO:0005737]; cysteine synthase activity [GO:0004124]; O-acetylhomoserine sulfhydrylase activity [GO:0051009]; pyridoxal phosphate binding [GO:0030170]; cysteine biosynthetic process from serine [GO:0006535]; L-homocysteine biosynthetic process [GO:0071269]; transsulfuration [GO:0019346]	cysteine biosynthetic process from serine [GO:0006535]; L-homocysteine biosynthetic process [GO:0071269]; transsulfuration [GO:0019346]	cytoplasm [GO:0005737]	cysteine synthase activity [GO:0004124]; O-acetylhomoserine sulfhydrylase activity [GO:0051009]; pyridoxal phosphate binding [GO:0030170]	GO:0004124; GO:0005737; GO:0006535; GO:0019346; GO:0030170; GO:0051009; GO:0071269
Q5SKC5	reviewed	Type-4 uracil-DNA glycosylase (EC 3.2.2.27) (TTUDGA) (TthUDG)	udg TTHA0718	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	205	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; uracil DNA N-glycosylase activity [GO:0004844]; DNA repair [GO:0006281]	DNA repair [GO:0006281]		4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; uracil DNA N-glycosylase activity [GO:0004844]	GO:0004844; GO:0006281; GO:0046872; GO:0051539
