Entry	Reviewed	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Gene Ontology IDs
Q31QY2	reviewed	D-fructose 1,6-bisphosphatase class 2/sedoheptulose 1,7-bisphosphatase (FBPase class 2/SBPase) (EC 3.1.3.11) (EC 3.1.3.37) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 2) (Fructose-1,6-bisphosphatase F-I)	Synpcc7942_0505	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	345	cytosol [GO:0005829]; fructose 1,6-bisphosphate 1-phosphatase activity [GO:0042132]; metal ion binding [GO:0046872]; sedoheptulose-bisphosphatase activity [GO:0050278]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; gluconeogenesis [GO:0006094]; glycerol metabolic process [GO:0006071]; reductive pentose-phosphate cycle [GO:0019253]	fructose 1,6-bisphosphate metabolic process [GO:0030388]; gluconeogenesis [GO:0006094]; glycerol metabolic process [GO:0006071]; reductive pentose-phosphate cycle [GO:0019253]	cytosol [GO:0005829]	fructose 1,6-bisphosphate 1-phosphatase activity [GO:0042132]; metal ion binding [GO:0046872]; sedoheptulose-bisphosphatase activity [GO:0050278]	GO:0005829; GO:0006071; GO:0006094; GO:0019253; GO:0030388; GO:0042132; GO:0046872; GO:0050278
Q31RK2	reviewed	Carboxysome shell protein CcmK4 (Carbon dioxide-concentrating mechanism protein CcmK4)	ccmK4 Synpcc7942_0285	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	113	carboxysome [GO:0031470]; structural constituent of carboxysome shell [GO:0043886]; carbon fixation [GO:0015977]; photosynthesis [GO:0015979]	carbon fixation [GO:0015977]; photosynthesis [GO:0015979]	carboxysome [GO:0031470]	structural constituent of carboxysome shell [GO:0043886]	GO:0015977; GO:0015979; GO:0031470; GO:0043886
Q31S42	reviewed	DNA-binding dual master transcriptional regulator RpaA (Regulator of phycobilisome-associated protein A) (RpaA)	rpaA Synpcc7942_0095	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	249	cytosol [GO:0005829]; protein-DNA complex [GO:0032993]; phosphorelay response regulator activity [GO:0000156]; transcription cis-regulatory region binding [GO:0000976]; cell division [GO:0051301]; circadian regulation of translation [GO:0097167]; circadian rhythm [GO:0007623]; regulation of DNA-templated transcription [GO:0006355]	cell division [GO:0051301]; circadian regulation of translation [GO:0097167]; circadian rhythm [GO:0007623]; regulation of DNA-templated transcription [GO:0006355]	cytosol [GO:0005829]; protein-DNA complex [GO:0032993]	phosphorelay response regulator activity [GO:0000156]; transcription cis-regulatory region binding [GO:0000976]	GO:0000156; GO:0000976; GO:0005829; GO:0006355; GO:0007623; GO:0032993; GO:0051301; GO:0097167
Q59943	reviewed	Fructose-1,6-bisphosphatase class 1 (FBPase class 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1) (Fructose-1,6-bisphosphatase F-II)	fbp Synpcc7942_2335	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	344	cytosol [GO:0005829]; fructose 1,6-bisphosphate 1-phosphatase activity [GO:0042132]; magnesium ion binding [GO:0000287]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose 6-phosphate metabolic process [GO:0006002]; fructose metabolic process [GO:0006000]; gluconeogenesis [GO:0006094]; reductive pentose-phosphate cycle [GO:0019253]; sucrose biosynthetic process [GO:0005986]	fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose 6-phosphate metabolic process [GO:0006002]; fructose metabolic process [GO:0006000]; gluconeogenesis [GO:0006094]; reductive pentose-phosphate cycle [GO:0019253]; sucrose biosynthetic process [GO:0005986]	cytosol [GO:0005829]	fructose 1,6-bisphosphate 1-phosphatase activity [GO:0042132]; magnesium ion binding [GO:0000287]	GO:0000287; GO:0005829; GO:0005986; GO:0006000; GO:0006002; GO:0006094; GO:0019253; GO:0030388; GO:0042132
Q79PF4	reviewed	Circadian clock oscillator protein KaiC (EC 2.7.11.1) (EC 3.6.4.-)	kaiC Synpcc7942_1216 see0011	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	519	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; circadian rhythm [GO:0007623]; entrainment of circadian clock [GO:0009649]; negative regulation of circadian rhythm [GO:0042754]; regulation of DNA-templated transcription [GO:0006355]; regulation of phosphorelay signal transduction system [GO:0070297]	circadian rhythm [GO:0007623]; entrainment of circadian clock [GO:0009649]; negative regulation of circadian rhythm [GO:0042754]; regulation of DNA-templated transcription [GO:0006355]; regulation of phosphorelay signal transduction system [GO:0070297]		ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]	GO:0000287; GO:0003677; GO:0004674; GO:0004712; GO:0005524; GO:0006355; GO:0007623; GO:0009649; GO:0016887; GO:0042754; GO:0042802; GO:0070297; GO:0106310
Q79PF5	reviewed	Circadian clock oscillator protein KaiB	kaiB Synpcc7942_1217 see0010	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	102	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; identical protein binding [GO:0042802]; circadian rhythm [GO:0007623]; entrainment of circadian clock [GO:0009649]; negative regulation of phosphorylation [GO:0042326]; regulation of circadian rhythm [GO:0042752]	circadian rhythm [GO:0007623]; entrainment of circadian clock [GO:0009649]; negative regulation of phosphorylation [GO:0042326]; regulation of circadian rhythm [GO:0042752]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]	identical protein binding [GO:0042802]	GO:0005737; GO:0005886; GO:0007623; GO:0009649; GO:0042326; GO:0042752; GO:0042802
Q79PF6	reviewed	Circadian clock oscillator protein KaiA	kaiA Synpcc7942_1218 see0009	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	284	identical protein binding [GO:0042802]; circadian rhythm [GO:0007623]; detection of redox state [GO:0051776]; entrainment of circadian clock [GO:0009649]; positive regulation of circadian rhythm [GO:0042753]	circadian rhythm [GO:0007623]; detection of redox state [GO:0051776]; entrainment of circadian clock [GO:0009649]; positive regulation of circadian rhythm [GO:0042753]		identical protein binding [GO:0042802]	GO:0007623; GO:0009649; GO:0042753; GO:0042802; GO:0051776
Q8GJM5	reviewed	Maintenance of carboxysome distribution protein A (McdA) (EC 3.6.4.-)	mcdA parA SEN0014 Synpcc7942_1833	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	252	cytoplasm [GO:0005737]; nucleoid [GO:0009295]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; carbon fixation [GO:0015977]	carbon fixation [GO:0015977]	cytoplasm [GO:0005737]; nucleoid [GO:0009295]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]	GO:0003677; GO:0005524; GO:0005737; GO:0009295; GO:0015977; GO:0016787; GO:0046872
Q8GJM6	reviewed	Maintenance of carboxysome distribution protein B (McdB)	mcdB SEN0013 Synpcc7942_1834	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	152	carboxysome [GO:0031470]; carbon fixation [GO:0015977]	carbon fixation [GO:0015977]	carboxysome [GO:0031470]		GO:0015977; GO:0031470
Q8KUU5	reviewed	Cysteine desulfurase (CyD) (EC 2.8.1.7)	cyd Synpcc7942_B2661 anL36	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	626	encapsulin nanocompartment [GO:0140737]; cysteine desulfurase activity [GO:0031071]; pyridoxal phosphate binding [GO:0030170]; cysteine metabolic process [GO:0006534]	cysteine metabolic process [GO:0006534]	encapsulin nanocompartment [GO:0140737]	cysteine desulfurase activity [GO:0031071]; pyridoxal phosphate binding [GO:0030170]	GO:0006534; GO:0030170; GO:0031071; GO:0140737
Q9KHI5	reviewed	Circadian input-output histidine kinase CikA (EC 2.7.13.3)	cikA Synpcc7942_0644	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	754	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; histidine phosphotransfer kinase activity [GO:0009927]; phosphorelay sensor kinase activity [GO:0000155]; cell division [GO:0051301]; circadian regulation of translation [GO:0097167]; circadian rhythm [GO:0007623]	cell division [GO:0051301]; circadian regulation of translation [GO:0097167]; circadian rhythm [GO:0007623]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]	ATP binding [GO:0005524]; histidine phosphotransfer kinase activity [GO:0009927]; phosphorelay sensor kinase activity [GO:0000155]	GO:0000155; GO:0005524; GO:0005737; GO:0005886; GO:0007623; GO:0009927; GO:0051301; GO:0097167
P04996	reviewed	Photosystem II protein D1 1 (PSII D1 protein 1) (EC 1.10.3.9) (Photosystem II Q(B) protein 1)	psbA1 psbA-I Synpcc7942_0424	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	360	photosystem II [GO:0009523]; plasma membrane-derived thylakoid membrane [GO:0031676]; chlorophyll binding [GO:0016168]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor [GO:0016682]; oxygen evolving activity [GO:0010242]; photosynthetic electron transport in photosystem II [GO:0009772]; response to herbicide [GO:0009635]	photosynthetic electron transport in photosystem II [GO:0009772]; response to herbicide [GO:0009635]	photosystem II [GO:0009523]; plasma membrane-derived thylakoid membrane [GO:0031676]	chlorophyll binding [GO:0016168]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor [GO:0016682]; oxygen evolving activity [GO:0010242]	GO:0005506; GO:0009523; GO:0009635; GO:0009772; GO:0010242; GO:0016168; GO:0016682; GO:0031676; GO:0045156
P04997	reviewed	Photosystem II protein D1 2 (PSII D1 protein 2) (EC 1.10.3.9) (Photosystem II Q(B) protein 2)	psbA2 psbA-II Synpcc7942_1389; psbA3 psbA-III Synpcc7942_0893	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	360	photosystem II [GO:0009523]; plasma membrane-derived thylakoid membrane [GO:0031676]; chlorophyll binding [GO:0016168]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor [GO:0016682]; oxygen evolving activity [GO:0010242]; photosynthetic electron transport in photosystem II [GO:0009772]; response to herbicide [GO:0009635]	photosynthetic electron transport in photosystem II [GO:0009772]; response to herbicide [GO:0009635]	photosystem II [GO:0009523]; plasma membrane-derived thylakoid membrane [GO:0031676]	chlorophyll binding [GO:0016168]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor [GO:0016682]; oxygen evolving activity [GO:0010242]	GO:0005506; GO:0009523; GO:0009635; GO:0009772; GO:0010242; GO:0016168; GO:0016682; GO:0031676; GO:0045156
P06539	reviewed	C-phycocyanin beta subunit	cpcB1 cpcB Synpcc7942_1047; cpcB2 Synpcc7942_1052	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	173	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]	photosynthesis [GO:0015979]	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]		GO:0015979; GO:0030089; GO:0031676
P0A3F4	reviewed	Nitrogen regulatory protein P-II (PII signal transducing protein)	glnB Synpcc7942_0321	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	112	cytosol [GO:0005829]; ATP binding [GO:0005524]; enzyme regulator activity [GO:0030234]; identical protein binding [GO:0042802]; regulation of nitrogen utilization [GO:0006808]	regulation of nitrogen utilization [GO:0006808]	cytosol [GO:0005829]	ATP binding [GO:0005524]; enzyme regulator activity [GO:0030234]; identical protein binding [GO:0042802]	GO:0005524; GO:0005829; GO:0006808; GO:0030234; GO:0042802
P13530	reviewed	C-phycocyanin alpha subunit	cpcA1 cpcA Synpcc7942_1048; cpcA2 Synpcc7942_1053	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	163	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]	photosynthesis [GO:0015979]	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]		GO:0015979; GO:0030089; GO:0031676
P14788	reviewed	Sulfate/thiosulfate import ATP-binding protein CysA (EC 7.3.2.3) (Sulfate-transporting ATPase)	cysA Synpcc7942_1680	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	344	ATP-binding cassette (ABC) transporter complex [GO:0043190]; ABC-type sulfate transporter activity [GO:0015419]; ABC-type thiosulfate transporter activity [GO:0102025]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]		ATP-binding cassette (ABC) transporter complex [GO:0043190]	ABC-type sulfate transporter activity [GO:0015419]; ABC-type thiosulfate transporter activity [GO:0102025]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	GO:0005524; GO:0015419; GO:0016887; GO:0043190; GO:0102025
P15347	reviewed	Iron stress-induced chlorophyll-binding protein (CP43')	isiA Synpcc7942_1542	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	342	photosystem I [GO:0009522]; plasma membrane-derived thylakoid membrane [GO:0031676]; chlorophyll binding [GO:0016168]; photosynthetic electron transport chain [GO:0009767]	photosynthetic electron transport chain [GO:0009767]	photosystem I [GO:0009522]; plasma membrane-derived thylakoid membrane [GO:0031676]	chlorophyll binding [GO:0016168]	GO:0009522; GO:0009767; GO:0016168; GO:0031676
P16954	reviewed	1,4-alpha-glucan branching enzyme GlgB (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Glycogen branching enzyme) (BE)	glgB Synpcc7942_1085	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	774	cytosol [GO:0005829]; 1,4-alpha-glucan branching enzyme activity [GO:0003844]; cation binding [GO:0043169]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; glycogen biosynthetic process [GO:0005978]	glycogen biosynthetic process [GO:0005978]	cytosol [GO:0005829]	1,4-alpha-glucan branching enzyme activity [GO:0003844]; cation binding [GO:0043169]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]	GO:0003844; GO:0004553; GO:0005829; GO:0005978; GO:0043169
P26294	reviewed	15-cis-phytoene desaturase (EC 1.3.5.5) (Phytoene dehydrogenase)	pds crtP Synpcc7942_1983	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	474	plasma membrane [GO:0005886]; phytoene dehydrogenase activity [GO:0016166]; carotenoid biosynthetic process [GO:0016117]; response to herbicide [GO:0009635]	carotenoid biosynthetic process [GO:0016117]; response to herbicide [GO:0009635]	plasma membrane [GO:0005886]	phytoene dehydrogenase activity [GO:0016166]	GO:0005886; GO:0009635; GO:0016117; GO:0016166
P30340	reviewed	Transcriptional repressor SmtB	smtB Synpcc7942_1291	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	122	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]			DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]	GO:0003677; GO:0003700; GO:0046872
P34185	reviewed	DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I) (Omega-protein) (Relaxing enzyme) (Swivelase) (Untwisting enzyme)	topA Synpcc7942_1416	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	883	DNA binding [GO:0003677]; DNA topoisomerase type I (single strand cut, ATP-independent) activity [GO:0003917]; metal ion binding [GO:0046872]; DNA topological change [GO:0006265]	DNA topological change [GO:0006265]		DNA binding [GO:0003677]; DNA topoisomerase type I (single strand cut, ATP-independent) activity [GO:0003917]; metal ion binding [GO:0046872]	GO:0003677; GO:0003917; GO:0006265; GO:0046872
P37279	reviewed	Probable copper-transporting ATPase PacS (EC 7.2.2.8)	pacS Synpcc7942_1570 sed0002	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	747	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; copper ion binding [GO:0005507]; P-type divalent copper transporter activity [GO:0043682]; P-type monovalent copper transporter activity [GO:0140581]; copper ion homeostasis [GO:0055070]	copper ion homeostasis [GO:0055070]	plasma membrane [GO:0005886]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; copper ion binding [GO:0005507]; P-type divalent copper transporter activity [GO:0043682]; P-type monovalent copper transporter activity [GO:0140581]	GO:0005507; GO:0005524; GO:0005886; GO:0016887; GO:0043682; GO:0055070; GO:0140581
P37385	reviewed	Probable copper-transporting ATPase SynA (EC 7.2.2.8)	synA Synpcc7942_2317	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	790	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; copper ion binding [GO:0005507]; P-type divalent copper transporter activity [GO:0043682]; P-type monovalent copper transporter activity [GO:0140581]; copper ion homeostasis [GO:0055070]	copper ion homeostasis [GO:0055070]	plasma membrane [GO:0005886]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; copper ion binding [GO:0005507]; P-type divalent copper transporter activity [GO:0043682]; P-type monovalent copper transporter activity [GO:0140581]	GO:0005507; GO:0005524; GO:0005886; GO:0016887; GO:0043682; GO:0055070; GO:0140581
P38043	reviewed	Nitrate/nitrite binding protein NrtA	nrtA Synpcc7942_1239	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	443	plasma membrane [GO:0005886]; monoatomic ion transport [GO:0006811]; nitrate assimilation [GO:0042128]	monoatomic ion transport [GO:0006811]; nitrate assimilation [GO:0042128]	plasma membrane [GO:0005886]		GO:0005886; GO:0006811; GO:0042128
P38045	reviewed	Nitrate import ATP-binding protein NrtC (EC 7.3.2.4)	nrtC Synpcc7942_1237	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	659	plasma membrane [GO:0005886]; ABC-type nitrate transporter activity [GO:0015414]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; nitrate assimilation [GO:0042128]	nitrate assimilation [GO:0042128]	plasma membrane [GO:0005886]	ABC-type nitrate transporter activity [GO:0015414]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	GO:0005524; GO:0005886; GO:0015414; GO:0016887; GO:0042128
