Entry	Reviewed	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Gene Ontology IDs
Q55080	reviewed	Cytochrome P450 119 (EC 1.14.-.-) (Peroxidase) (EC 1.11.1.7)	cyp119 Saci_2081	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	368	cytoplasm [GO:0005737]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; lactoperoxidase activity [GO:0140825]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]		cytoplasm [GO:0005737]	heme binding [GO:0020037]; iron ion binding [GO:0005506]; lactoperoxidase activity [GO:0140825]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	GO:0004497; GO:0005506; GO:0005737; GO:0016705; GO:0020037; GO:0140825
Q9HH09	reviewed	Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Glutamine synthetase I alpha) (GSI alpha)	glnA Saci_1483	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	473	cytoplasm [GO:0005737]; membrane [GO:0016020]; ATP binding [GO:0005524]; glutamine synthetase activity [GO:0004356]; metal ion binding [GO:0046872]; glutamine biosynthetic process [GO:0006542]; nitrogen utilization [GO:0019740]	glutamine biosynthetic process [GO:0006542]; nitrogen utilization [GO:0019740]	cytoplasm [GO:0005737]; membrane [GO:0016020]	ATP binding [GO:0005524]; glutamine synthetase activity [GO:0004356]; metal ion binding [GO:0046872]	GO:0004356; GO:0005524; GO:0005737; GO:0006542; GO:0016020; GO:0019740; GO:0046872
A0A0U2WTV7	unreviewed	Bifunctional NAD(P)H-hydrate repair enzyme (Nicotinamide nucleotide repair protein) [Includes: ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136) (ADP-dependent NAD(P)HX dehydratase); NAD(P)H-hydrate epimerase (EC 5.1.99.6)]	nnrD nnrE ATY89_05985 ATZ20_09010	Sulfolobus acidocaldarius	503	ADP-dependent NAD(P)H-hydrate dehydratase activity [GO:0052855]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; NAD(P)HX epimerase activity [GO:0052856]; metabolite repair [GO:0110051]; nicotinamide nucleotide metabolic process [GO:0046496]	metabolite repair [GO:0110051]; nicotinamide nucleotide metabolic process [GO:0046496]		ADP-dependent NAD(P)H-hydrate dehydratase activity [GO:0052855]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; NAD(P)HX epimerase activity [GO:0052856]	GO:0005524; GO:0046496; GO:0046872; GO:0052855; GO:0052856; GO:0110051
A0A0U2Y0U2	unreviewed	Coenzyme A biosynthesis bifunctional protein CoaBC (DNA/pantothenate metabolism flavoprotein) (Phosphopantothenoylcysteine synthetase/decarboxylase) (PPCS-PPCDC) [Includes: Phosphopantothenoylcysteine decarboxylase (PPC decarboxylase) (PPC-DC) (EC 4.1.1.36) (CoaC); Phosphopantothenate--cysteine ligase (EC 6.3.2.5) (CoaB) (Phosphopantothenoylcysteine synthetase) (PPC synthetase) (PPC-S)]	coaBC ATY89_04020 ATZ20_07045	Sulfolobus acidocaldarius	409	phosphopantothenoylcysteine decarboxylase complex [GO:0071513]; FMN binding [GO:0010181]; metal ion binding [GO:0046872]; phosphopantothenate--cysteine ligase activity [GO:0004632]; phosphopantothenoylcysteine decarboxylase activity [GO:0004633]; coenzyme A biosynthetic process [GO:0015937]; pantothenate catabolic process [GO:0015941]	coenzyme A biosynthetic process [GO:0015937]; pantothenate catabolic process [GO:0015941]	phosphopantothenoylcysteine decarboxylase complex [GO:0071513]	FMN binding [GO:0010181]; metal ion binding [GO:0046872]; phosphopantothenate--cysteine ligase activity [GO:0004632]; phosphopantothenoylcysteine decarboxylase activity [GO:0004633]	GO:0004632; GO:0004633; GO:0010181; GO:0015937; GO:0015941; GO:0046872; GO:0071513
A0A0U3FCR2	unreviewed	Carbamoyl phosphate synthase large chain (EC 6.3.4.16) (EC 6.3.5.5) (Carbamoyl phosphate synthetase ammonia chain)	carB ATY89_10005 ATZ20_01560	Sulfolobus acidocaldarius	1052	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; metal ion binding [GO:0046872]; 'de novo' UMP biosynthetic process [GO:0044205]; glutamine metabolic process [GO:0006541]; L-arginine biosynthetic process [GO:0006526]	'de novo' UMP biosynthetic process [GO:0044205]; glutamine metabolic process [GO:0006541]; L-arginine biosynthetic process [GO:0006526]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; metal ion binding [GO:0046872]	GO:0004088; GO:0005524; GO:0005737; GO:0006526; GO:0006541; GO:0044205; GO:0046872
A0A0U3FV41	unreviewed	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)	pyrG ATZ20_05435	Sulfolobus acidocaldarius	529	ATP binding [GO:0005524]; CTP synthase activity [GO:0003883]; glutaminase activity [GO:0004359]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; 'de novo' CTP biosynthetic process [GO:0044210]; pyrimidine nucleobase biosynthetic process [GO:0019856]	'de novo' CTP biosynthetic process [GO:0044210]; pyrimidine nucleobase biosynthetic process [GO:0019856]		ATP binding [GO:0005524]; CTP synthase activity [GO:0003883]; glutaminase activity [GO:0004359]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]	GO:0003883; GO:0004359; GO:0005524; GO:0019856; GO:0042802; GO:0044210; GO:0046872
A0A0U3H6N8	unreviewed	Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase)	ilvC ATY89_10310 ATZ20_01865	Sulfolobus acidocaldarius	332	isomerase activity [GO:0016853]; ketol-acid reductoisomerase activity [GO:0004455]; magnesium ion binding [GO:0000287]; NADP binding [GO:0050661]; isoleucine biosynthetic process [GO:0009097]; L-valine biosynthetic process [GO:0009099]	isoleucine biosynthetic process [GO:0009097]; L-valine biosynthetic process [GO:0009099]		isomerase activity [GO:0016853]; ketol-acid reductoisomerase activity [GO:0004455]; magnesium ion binding [GO:0000287]; NADP binding [GO:0050661]	GO:0000287; GO:0004455; GO:0009097; GO:0009099; GO:0016853; GO:0050661
A0A0U3HKD5	unreviewed	Phosphoenolpyruvate carboxykinase [GTP] (PEP carboxykinase) (PEPCK) (EC 4.1.1.32) (GTP-dependent phosphoenolpyruvate carboxykinase) (GTP-PEPCK)	pckG ATZ20_04025	Sulfolobus acidocaldarius	604	cytosol [GO:0005829]; GTP binding [GO:0005525]; kinase activity [GO:0016301]; manganese ion binding [GO:0030145]; phosphoenolpyruvate carboxykinase (GTP) activity [GO:0004613]; cellular response to glucose stimulus [GO:0071333]; gluconeogenesis [GO:0006094]; glycerol biosynthetic process from pyruvate [GO:0046327]; oxaloacetate metabolic process [GO:0006107]; propionate catabolic process [GO:0019543]; response to lipid [GO:0033993]; response to starvation [GO:0042594]	cellular response to glucose stimulus [GO:0071333]; gluconeogenesis [GO:0006094]; glycerol biosynthetic process from pyruvate [GO:0046327]; oxaloacetate metabolic process [GO:0006107]; propionate catabolic process [GO:0019543]; response to lipid [GO:0033993]; response to starvation [GO:0042594]	cytosol [GO:0005829]	GTP binding [GO:0005525]; kinase activity [GO:0016301]; manganese ion binding [GO:0030145]; phosphoenolpyruvate carboxykinase (GTP) activity [GO:0004613]	GO:0004613; GO:0005525; GO:0005829; GO:0006094; GO:0006107; GO:0016301; GO:0019543; GO:0030145; GO:0033993; GO:0042594; GO:0046327; GO:0071333
M1I652	unreviewed	Carbamoyl phosphate synthase large chain (EC 6.3.4.16) (EC 6.3.5.5) (Carbamoyl phosphate synthetase ammonia chain)	carB SacN8_07865	Sulfolobus acidocaldarius N8	1052	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; carbamoyl-phosphate synthase (ammonia) activity [GO:0004087]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; metal ion binding [GO:0046872]; 'de novo' UMP biosynthetic process [GO:0044205]; glutamine metabolic process [GO:0006541]; L-arginine biosynthetic process [GO:0006526]	'de novo' UMP biosynthetic process [GO:0044205]; glutamine metabolic process [GO:0006541]; L-arginine biosynthetic process [GO:0006526]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; carbamoyl-phosphate synthase (ammonia) activity [GO:0004087]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; metal ion binding [GO:0046872]	GO:0004087; GO:0004088; GO:0005524; GO:0005737; GO:0006526; GO:0006541; GO:0044205; GO:0046872
M1IB19	unreviewed	[LysW]-L-2-aminoadipate/[LysW]-L-glutamate phosphate reductase (EC 1.2.1.103) (EC 1.2.1.106)	argC lysY SacRon12I_03630	Sulfolobus acidocaldarius Ron12/I	350	cytoplasm [GO:0005737]; N-acetyl-gamma-aminoadipyl-phosphate reductase activity [GO:0043870]; N-acetyl-gamma-glutamyl-phosphate reductase activity [GO:0003942]; NAD binding [GO:0051287]; NADP+ binding [GO:0070401]; arginine biosynthetic process via ornithine [GO:0042450]; L-arginine biosynthetic process [GO:0006526]; lysine biosynthetic process via aminoadipic acid [GO:0019878]	arginine biosynthetic process via ornithine [GO:0042450]; L-arginine biosynthetic process [GO:0006526]; lysine biosynthetic process via aminoadipic acid [GO:0019878]	cytoplasm [GO:0005737]	N-acetyl-gamma-aminoadipyl-phosphate reductase activity [GO:0043870]; N-acetyl-gamma-glutamyl-phosphate reductase activity [GO:0003942]; NAD binding [GO:0051287]; NADP+ binding [GO:0070401]	GO:0003942; GO:0005737; GO:0006526; GO:0019878; GO:0042450; GO:0043870; GO:0051287; GO:0070401
M1IC57	unreviewed	Phosphoenolpyruvate carboxykinase [GTP] (PEP carboxykinase) (PEPCK) (EC 4.1.1.32) (GTP-dependent phosphoenolpyruvate carboxykinase) (GTP-PEPCK)	pckG SacRon12I_05340	Sulfolobus acidocaldarius Ron12/I	604	cytosol [GO:0005829]; GTP binding [GO:0005525]; kinase activity [GO:0016301]; manganese ion binding [GO:0030145]; phosphoenolpyruvate carboxykinase (GTP) activity [GO:0004613]; cellular response to glucose stimulus [GO:0071333]; gluconeogenesis [GO:0006094]; glycerol biosynthetic process from pyruvate [GO:0046327]; oxaloacetate metabolic process [GO:0006107]; propionate catabolic process [GO:0019543]; response to lipid [GO:0033993]; response to starvation [GO:0042594]	cellular response to glucose stimulus [GO:0071333]; gluconeogenesis [GO:0006094]; glycerol biosynthetic process from pyruvate [GO:0046327]; oxaloacetate metabolic process [GO:0006107]; propionate catabolic process [GO:0019543]; response to lipid [GO:0033993]; response to starvation [GO:0042594]	cytosol [GO:0005829]	GTP binding [GO:0005525]; kinase activity [GO:0016301]; manganese ion binding [GO:0030145]; phosphoenolpyruvate carboxykinase (GTP) activity [GO:0004613]	GO:0004613; GO:0005525; GO:0005829; GO:0006094; GO:0006107; GO:0016301; GO:0019543; GO:0030145; GO:0033993; GO:0042594; GO:0046327; GO:0071333
M1IQH4	unreviewed	Phosphoenolpyruvate carboxykinase [GTP] (PEP carboxykinase) (PEPCK) (EC 4.1.1.32) (GTP-dependent phosphoenolpyruvate carboxykinase) (GTP-PEPCK)	pckG SacN8_05350	Sulfolobus acidocaldarius N8	604	cytosol [GO:0005829]; GTP binding [GO:0005525]; kinase activity [GO:0016301]; manganese ion binding [GO:0030145]; phosphoenolpyruvate carboxykinase (GTP) activity [GO:0004613]; cellular response to glucose stimulus [GO:0071333]; gluconeogenesis [GO:0006094]; glycerol biosynthetic process from pyruvate [GO:0046327]; oxaloacetate metabolic process [GO:0006107]; propionate catabolic process [GO:0019543]; response to lipid [GO:0033993]; response to starvation [GO:0042594]	cellular response to glucose stimulus [GO:0071333]; gluconeogenesis [GO:0006094]; glycerol biosynthetic process from pyruvate [GO:0046327]; oxaloacetate metabolic process [GO:0006107]; propionate catabolic process [GO:0019543]; response to lipid [GO:0033993]; response to starvation [GO:0042594]	cytosol [GO:0005829]	GTP binding [GO:0005525]; kinase activity [GO:0016301]; manganese ion binding [GO:0030145]; phosphoenolpyruvate carboxykinase (GTP) activity [GO:0004613]	GO:0004613; GO:0005525; GO:0005829; GO:0006094; GO:0006107; GO:0016301; GO:0019543; GO:0030145; GO:0033993; GO:0042594; GO:0046327; GO:0071333
M1IRY2	unreviewed	Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase)	ilvC SacN8_07560	Sulfolobus acidocaldarius N8	332	isomerase activity [GO:0016853]; ketol-acid reductoisomerase activity [GO:0004455]; magnesium ion binding [GO:0000287]; NADP binding [GO:0050661]; isoleucine biosynthetic process [GO:0009097]; L-valine biosynthetic process [GO:0009099]	isoleucine biosynthetic process [GO:0009097]; L-valine biosynthetic process [GO:0009099]		isomerase activity [GO:0016853]; ketol-acid reductoisomerase activity [GO:0004455]; magnesium ion binding [GO:0000287]; NADP binding [GO:0050661]	GO:0000287; GO:0004455; GO:0009097; GO:0009099; GO:0016853; GO:0050661
M1ITS4	unreviewed	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)	pyrG SacN8_03885	Sulfolobus acidocaldarius N8	529	ATP binding [GO:0005524]; CTP synthase activity [GO:0003883]; glutaminase activity [GO:0004359]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; 'de novo' CTP biosynthetic process [GO:0044210]; pyrimidine nucleobase biosynthetic process [GO:0019856]	'de novo' CTP biosynthetic process [GO:0044210]; pyrimidine nucleobase biosynthetic process [GO:0019856]		ATP binding [GO:0005524]; CTP synthase activity [GO:0003883]; glutaminase activity [GO:0004359]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]	GO:0003883; GO:0004359; GO:0005524; GO:0019856; GO:0042802; GO:0044210; GO:0046872
